date,name
2021-01-01,새해(신정)
2021-02-11,설날 연휴
2021-02-12,설날
2021-02-13,설날 연휴
2021-03-01,삼일절
2021-05-05,어린이날
2021-05-19,부처님오신날 (석가탄신일)
2021-06-06,현충일
2021-08-15,광복절
2021-08-16,광복절 대체공휴일
2021-09-20,추석 연휴
2021-09-21,추석
2021-09-22,추석 연휴
2021-10-03,개천절
2021-10-04,개천절 대체공휴일
2021-10-09,한글날
2021-10-11,한글날 대체공휴일
2021-12-25,성탄절
2022-01-01,새해?(신정)
2022-01-31,설날 연휴
2022-02-01,설날
2022-02-02,설날 연휴
2022-03-01,삼일절
2022-03-09,제20대 대통령선거일
2022-05-05,어린이날
2022-05-08,부처님오신날 (석가탄신일)
2022-06-01,제8회 전국동시지방선거일
2022-06-06,현충일
2022-09-09,추석 연휴
2022-09-10,추석
2022-09-11,추석 연휴
2022-09-12,추석 대체공휴일
2022-10-03,개천절
2022-10-09,한글날
2022-10-10,한글날 대체공휴일
2022-12-25,성탄절
2023-01-01,새해(신정)
2023-01-21,설날 연휴
2023-01-22,설날
2023-01-23,설날 연휴
2023-01-24,설날 대체공휴일
2023-03-01,삼일절
2023-05-05,어린이날
2023-05-27,부처님오신날 (석가탄신일)
2023-05-29,부처님오신날 대체공휴일
2023-06-06,현충일
2023-09-28,추석 연휴
2023-09-29,추석
2023-09-30,추석 연휴
2023-10-02,임시공휴일 (추석 연휴 긴급?지정)
2023-10-03,개천절
2023-10-09,한글날
2023-12-25,성탄절
2024-01-01,새해(신정)
2024-02-09,설날 연휴
2024-02-10,설날
2024-02-11,설날 연휴
2024-02-12,설날 대체공휴일
2024-03-01,삼일절
2024-04-10,제22대 국회의원선거일
2024-05-05,어린이날
2024-05-06,어린이날 대체공휴일
2024-05-15,부처님오신날 (석가탄신일)
2024-06-06,현충일
2024-08-15,광복절
2024-09-16,추석 연휴
2024-09-17,추석
2024-09-18,추석 연휴
2024-10-01,임시공휴일 (국군의 날)
2024-10-03,개천절
2024-10-09,한글날
2024-12-25,성탄절
2025-01-01,새해?(신정)
2025-01-27,설날 연휴
2025-01-28,설날
2025-01-29,설날 연휴
2025-03-01,삼일절
2025-03-03,삼일절 대체공휴일
2025-05-05,어린이날
2025-05-05,부처님오신날 (석가탄신일)
2025-05-06,대체공휴일 (어린이날/부처님오신날)
2025-06-06,현충일
2025-08-15,광복절
2025-10-03,개천절
2025-10-05,추석 연휴
2025-10-06,추석
2025-10-07,추석 연휴
2025-10-08,추석 대체공휴일
2025-10-09,한글날
2025-12-25,성탄절
